FECHA|DEPARTAMENTO|PROVINCIA|DISTRITO|ZONA|BLOQUE|SEGMENTO|ID_POLI|TOTAL_LOTES|ORDEN_LOTE|P301|P301A|P301B1|P301B2|P301B3|P301C1|P301C2|P301C3|P301D|OBSERVACIONES
2021-10-13 09:53:37.841000|LA LIBERTAD|TRUJILLO|VICTOR LARCO HERRERA|zona_1|bloque_6|130115311|13011531103|9|7|Lote en barbecho| |180.0000000000|074|1|0.0000000000|074|1|1245| 
2021-10-13 09:53:37.841000|LA LIBERTAD|TRUJILLO|VICTOR LARCO HERRERA|zona_1|bloque_6|130115311|13011531103|9|8|Lote en barbecho| |264.0000000000|074|1|0.0000000000|074|1|1245| 
2021-10-13 09:53:37.841000|LA LIBERTAD|TRUJILLO|VICTOR LARCO HERRERA|zona_1|bloque_6|130115311|13011531103|9|9|Lote en infraestructura pecuaria| |308.0000000000|074|1|0.0000000000|074|1|1245| 
2021-10-13 09:56:05.355000|LA LIBERTAD|TRUJILLO|VICTOR LARCO HERRERA|zona_1|bloque_6|130115311|13011531105|4|1|Lote en pastos sembrados a nivel de variedad|00000000079|740.0000000000|074|1|0.0000000000|074|1|2580| 
2021-10-13 09:56:05.355000|LA LIBERTAD|TRUJILLO|VICTOR LARCO HERRERA|zona_1|bloque_6|130115311|13011531105|4|2|Lote en pastos sembrados a nivel de variedad|00000000079|550.0000000000|074|1|0.0000000000|074|1|2580| 
2021-10-13 09:56:05.355000|LA LIBERTAD|TRUJILLO|VICTOR LARCO HERRERA|zona_1|bloque_6|130115311|13011531105|4|3|Lote en pastos sembrados a nivel de variedad|00000000079|550.0000000000|074|1|0.0000000000|074|1|2580| 
2021-10-13 09:56:05.355000|LA LIBERTAD|TRUJILLO|VICTOR LARCO HERRERA|zona_1|bloque_6|130115311|13011531105|4|4|Lote en barbecho| |740.0000000000|074|1|0.0000000000|074|1|2580| 
2021-10-13 09:56:10.746000|LA LIBERTAD|TRUJILLO|VICTOR LARCO HERRERA|zona_1|bloque_6|130115311|13011531101|1|1|Lote en infraestructura no agraria| |2.8000000000|052|10000|0.0000000000|052|10000|2.8| 
2021-10-13 09:56:13.839000|LA LIBERTAD|TRUJILLO|VICTOR LARCO HERRERA|zona_1|bloque_6|130115311|13011531102|1|1|Lote en infraestructura no agraria| |0.6100000000|052|10000|0.0000000000|052|10000|0.61| 
2021-10-13 09:56:14.589000|LA LIBERTAD|TRUJILLO|VICTOR LARCO HERRERA|zona_1|bloque_6|130115311|13011531104|1|1|Lote en otros usos (vivienda, patio, piscina, cancha deportiva, etc)| |0.0800000000|052|10000|0.0000000000|052|10000|0.08| 
2021-10-13 09:56:15.135000|LA LIBERTAD|TRUJILLO|VICTOR LARCO HERRERA|zona_1|bloque_6|130115311|13011531106|1|1|Lote en otros usos (vivienda, patio, piscina, cancha deportiva, etc)| |4.5900000000|052|10000|0.0000000000|052|10000|4.59| 
2021-10-13 09:56:16.323000|LA LIBERTAD|TRUJILLO|VICTOR LARCO HERRERA|zona_1|bloque_6|130115311|13011531107|1|1|Lote en cuerpos de agua (quebradas, riachuelos, lagunas, qochas o reservorios de agua)| |0.0000000000|052|10000|0.0000000000|052|10000|0| 
2021-10-13 18:12:46.093000|LA LIBERTAD|SANCHEZ CARRION|MARCABAL|zona_3|bloque_10|130167813|13016781302|12|1|Lote en cultivo transitorio a nivel de variedad|00000001535|100.0000000000|074|1|0.0000000000|074|1|8880| 
2021-10-13 18:12:46.093000|LA LIBERTAD|SANCHEZ CARRION|MARCABAL|zona_3|bloque_10|130167813|13016781302|12|2|Lote en cultivo transitorio a nivel de variedad|00000001012|1000.0000000000|074|1|0.0000000000|074|1|8880| 
2021-10-13 18:12:46.093000|LA LIBERTAD|SANCHEZ CARRION|MARCABAL|zona_3|bloque_10|130167813|13016781302|12|3|Lote en cultivo permanente a nivel de variedad|00000000695|1000.0000000000|074|1|0.0000000000|074|1|8880| 
2021-10-13 18:12:46.093000|LA LIBERTAD|SANCHEZ CARRION|MARCABAL|zona_3|bloque_10|130167813|13016781302|12|4|Lote en cultivo permanente a nivel de variedad|00000000995|630.0000000000|074|1|0.0000000000|074|1|8880| 
2021-10-13 18:12:46.093000|LA LIBERTAD|SANCHEZ CARRION|MARCABAL|zona_3|bloque_10|130167813|13016781302|12|5|Lote en pastos sembrados a nivel de variedad|00000000074|200.0000000000|074|1|0.0000000000|074|1|8880| 
2021-10-13 18:12:46.093000|LA LIBERTAD|SANCHEZ CARRION|MARCABAL|zona_3|bloque_10|130167813|13016781302|12|6|Lote en pastos sembrados a nivel de variedad|00000000074|100.0000000000|074|1|0.0000000000|074|1|8880| 
2021-10-13 18:12:46.093000|LA LIBERTAD|SANCHEZ CARRION|MARCABAL|zona_3|bloque_10|130167813|13016781302|12|7|Lote en barbecho| |2000.0000000000|074|1|0.0000000000|074|1|8880| 
2021-10-13 18:12:46.093000|LA LIBERTAD|SANCHEZ CARRION|MARCABAL|zona_3|bloque_10|130167813|13016781302|12|8|Lote en barbecho| |630.0000000000|074|1|0.0000000000|074|1|8880| 
2021-10-13 18:12:46.093000|LA LIBERTAD|SANCHEZ CARRION|MARCABAL|zona_3|bloque_10|130167813|13016781302|12|9|Lote en barbecho| |200.0000000000|074|1|0.0000000000|074|1|8880| 
2021-10-13 18:12:46.093000|LA LIBERTAD|SANCHEZ CARRION|MARCABAL|zona_3|bloque_10|130167813|13016781302|12|10|Lote en montes y bosques naturales| |2000.0000000000|074|1|0.0000000000|074|1|8880| 
2021-10-13 18:12:46.093000|LA LIBERTAD|SANCHEZ CARRION|MARCABAL|zona_3|bloque_10|130167813|13016781302|12|11|Lote en montes y bosques naturales| |1000.0000000000|074|1|0.0000000000|074|1|8880| 
2021-10-13 18:12:46.093000|LA LIBERTAD|SANCHEZ CARRION|MARCABAL|zona_3|bloque_10|130167813|13016781302|12|12|Lote en otros usos (vivienda, patio, piscina, cancha deportiva, etc)| |20.0000000000|074|1|0.0000000000|074|1|8880| 
2021-10-13 18:12:50.342000|LA LIBERTAD|SANCHEZ CARRION|MARCABAL|zona_3|bloque_10|130167813|13016781301|1|1|Lote en cuerpos de agua (quebradas, riachuelos, lagunas, qochas o reservorios de agua)| |0.0000000000|074|1|0.0000000000|074|1|0| 
2021-10-13 23:10:50.899000|LA LIBERTAD|SANCHEZ CARRION|HUAMACHUCO|zona_3|bloque_12|130203611|13020361101|6|1|Lote en cultivo transitorio a nivel de variedad|00000001012|0.7500000000|052|10000|0.0000000000|052|10000|5.25| 
2021-10-13 23:10:50.899000|LA LIBERTAD|SANCHEZ CARRION|HUAMACHUCO|zona_3|bloque_12|130203611|13020361101|6|2|Lote en barbecho| |0.2500000000|052|10000|0.0000000000|052|10000|5.25| 
2021-10-13 23:10:50.899000|LA LIBERTAD|SANCHEZ CARRION|HUAMACHUCO|zona_3|bloque_12|130203611|13020361101|6|3|Lote en barbecho| |0.7500000000|052|10000|0.0000000000|052|10000|5.25| 
2021-10-13 23:10:50.899000|LA LIBERTAD|SANCHEZ CARRION|HUAMACHUCO|zona_3|bloque_12|130203611|13020361101|6|4|Lote en descanso| |1.0000000000|052|10000|0.0000000000|052|10000|5.25| 
2021-10-13 23:10:50.899000|LA LIBERTAD|SANCHEZ CARRION|HUAMACHUCO|zona_3|bloque_12|130203611|13020361101|6|5|Lote en pastos naturales|00000001171|2.0000000000|052|10000|0.0000000000|052|10000|5.25| 
2021-10-13 23:10:50.899000|LA LIBERTAD|SANCHEZ CARRION|HUAMACHUCO|zona_3|bloque_12|130203611|13020361101|6|6|Lote en matorrales| |0.5000000000|052|10000|0.0000000000|052|10000|5.25| 
2021-10-13 23:10:55.509000|LA LIBERTAD|SANCHEZ CARRION|HUAMACHUCO|zona_3|bloque_12|130203611|13020361102|7|1|Lote en cultivo transitorio a nivel de variedad|00000001017|0.5000000000|052|10000|0.0000000000|052|10000|3| 
2021-10-13 23:10:55.509000|LA LIBERTAD|SANCHEZ CARRION|HUAMACHUCO|zona_3|bloque_12|130203611|13020361102|7|2|Lote en cultivo transitorio a nivel de variedad|00000000374|0.5000000000|052|10000|0.0000000000|052|10000|3| 
2021-10-13 23:10:55.509000|LA LIBERTAD|SANCHEZ CARRION|HUAMACHUCO|zona_3|bloque_12|130203611|13020361102|7|3|Lote en matorrales| |0.5000000000|052|10000|0.0000000000|052|10000|3| 
2021-10-13 23:10:55.509000|LA LIBERTAD|SANCHEZ CARRION|HUAMACHUCO|zona_3|bloque_12|130203611|13020361102|7|4|Lote en barbecho| |0.7500000000|052|10000|0.0000000000|052|10000|3| 
2021-10-13 23:10:55.509000|LA LIBERTAD|SANCHEZ CARRION|HUAMACHUCO|zona_3|bloque_12|130203611|13020361102|7|5|Lote en barbecho| |0.2500000000|052|10000|0.0000000000|052|10000|3| 
2021-10-13 23:10:55.509000|LA LIBERTAD|SANCHEZ CARRION|HUAMACHUCO|zona_3|bloque_12|130203611|13020361102|7|6|Lote en pastos naturales|00000001171|0.2500000000|052|10000|0.0000000000|052|10000|3| 
2021-10-13 23:10:55.509000|LA LIBERTAD|SANCHEZ CARRION|HUAMACHUCO|zona_3|bloque_12|130203611|13020361102|7|7|Lote en matorrales| |0.2500000000|052|10000|0.0000000000|052|10000|3| 
2021-10-13 23:14:09.333000|LA LIBERTAD|SANCHEZ CARRION|HUAMACHUCO|zona_3|bloque_12|130203611|13020361103|1|1|Lote en otros usos (vivienda, patio, piscina, cancha deportiva, etc)| |0.0000000000|052|10000|0.0000000000|052|10000|0| 
2021-10-13 23:14:11.083000|LA LIBERTAD|SANCHEZ CARRION|HUAMACHUCO|zona_3|bloque_12|130203611|13020361104|2|1|Lote en cultivo transitorio a nivel de variedad|00000000374|0.5000000000|052|10000|0.0000000000|052|10000|0.75| 
2021-10-13 23:14:11.083000|LA LIBERTAD|SANCHEZ CARRION|HUAMACHUCO|zona_3|bloque_12|130203611|13020361104|2|2|Lote en pastos naturales|00000001171|0.2500000000|052|10000|0.0000000000|052|10000|0.75| 
2021-10-14 07:41:55.563000|LA LIBERTAD|OTUZCO|OTUZCO|zona_2|bloque_8|130194013|13019401301|1|1|Lote en barbecho| |1.5000000000|052|10000|0.2500000000|052|10000|1.5| 
2021-10-14 07:41:59.609000|LA LIBERTAD|OTUZCO|OTUZCO|zona_2|bloque_8|130194013|13019401302|1|1|Lote en barbecho| |0.0100000000|052|10000|0.0100000000|052|10000|0.01| 
2021-10-14 07:42:06.609000|LA LIBERTAD|OTUZCO|OTUZCO|zona_2|bloque_8|130194013|13019401303|1|1|Lote en cuerpos de agua (quebradas, riachuelos, lagunas, qochas o reservorios de agua)| |1000.0000000000|074|1|0.3000000000|052|10000|1000|La parcela y lote es una quebrada
2021-10-14 07:42:09.547000|LA LIBERTAD|OTUZCO|OTUZCO|zona_2|bloque_8|130194013|13019401306|1|1|Lote en barbecho| |0.0100000000|052|10000|0.0050000000|052|10000|0.01| 
2021-10-14 07:42:14.157000|LA LIBERTAD|OTUZCO|OTUZCO|zona_2|bloque_8|130194013|13019401307|1|1|Lote en barbecho| |0.1000000000|052|10000|0.0200000000|052|10000|0.1| 
2021-10-14 07:42:20.156000|LA LIBERTAD|OTUZCO|OTUZCO|zona_2|bloque_8|130194013|13019401304|2|1|Lote en cultivo transitorio a nivel de variedad|00000001053, 00000001007|0.0200000000|052|10000|0.0000000000|052|10000|0.06| 
2021-10-14 07:42:20.156000|LA LIBERTAD|OTUZCO|OTUZCO|zona_2|bloque_8|130194013|13019401304|2|2|Lote en barbecho| |0.0400000000|052|10000|0.0300000000|052|10000|0.06| 
2021-10-14 07:42:25.250000|LA LIBERTAD|OTUZCO|OTUZCO|zona_2|bloque_8|130194013|13019401305|1|1|Lote en barbecho| |1.0000000000|052|10000|0.8000000000|052|10000|1| 
2021-10-14 12:32:41.920000|LA LIBERTAD|OTUZCO|OTUZCO|zona_2|bloque_8|130156013|13015601301|1|1|Lote en barbecho| |0.3000000000|052|10000|0.0500000000|052|10000|0.3| 
2021-10-14 12:33:00.514000|LA LIBERTAD|OTUZCO|OTUZCO|zona_2|bloque_8|130156013|13015601302|1|1|Lote en plantaciones forestales a nivel de variedad|00000000451|0.0500000000|074|1|0.0200000000|074|1|0.05| 
2021-10-14 12:33:07.592000|LA LIBERTAD|OTUZCO|OTUZCO|zona_2|bloque_8|130156013|13015601303|1|1|Lote en barbecho| |0.4000000000|052|10000|0.1500000000|052|10000|0.4| 
2021-10-14 12:33:13.404000|LA LIBERTAD|OTUZCO|OTUZCO|zona_2|bloque_8|130156013|13015601306|1|1|Lote en barbecho| |0.4000000000|052|10000|0.1500000000|052|10000|0.4| 
